Number;City
01;Wien
02142;Gattendorf
02143;Kittsee
02144;Deutsch Jahrndorf
02145;Prellenkirchen
02146;Nickelsdorf, Leitha
02147;Zurndorf
02160;Jois
02162;Bruck a.d. Leitha
02163;Petronell
02164;Rohrau
02165;Hainburg a.d. Donau
02166;Parndorf
02167;Neusiedl am See
02168;Mannersdorf am Leithagebirge
02169;Trautmannsdorf a.d. Leitha
02172;Frauenkirchen
02173;Gols am Neusiedlersee
02174;Wallern im Bgl.
02175;Apetlon
02176;Tadten
02177;Podersdorf am See
02212;Orth a.d. Donau
02213;Lassee, NÖ
02214;Kopfstetten
02215;Probstdorf
02216;Leopoldsdorf im Marchfelde
0222;Wien
02230;Schwadorf bei Wien
02231;Purkersdorf
02232;Fischamend
02233;Preßbaum
02234;Gramatneusiedl
02235;Maria Lanzendorf
02236;Mödling
02237;Gaaden
02238;Kaltenleutgeben
02239;Breitenfurt
02242;St. Andrä-Wördern
02243;Klosterneuburg
02244;Langenzersdorf
02245;Wolkersdorf, Bezirk Mistelbach
02246;Gerasdorf bei Wien
02247;Deutsch Wagram
02248;Markgrafneusiedl
02249;Großenzersdorf
02252;Baden bei Wien
02253;Oberwaltersdorf
02254;Ebreichsdorf
02255;Deutsch Brodersdorf
02256;Leobersdorf
02257;Klausen-Leopoldsdorf
02258;Alland
02259;Münchendorf
02262;Korneuburg
02263;Großrußbach
02264;Rückersdorf-Harmannsdorf
02265;Hausleiten
02266;Stockerau
02267;Sierndorf, Bezirk Korneuburg
02268;Großmugl
02269;Niederfellabrunn
02271;Ried am Riederberg
02272;Tulln
02273;Tulbing
02274;Sieghartskirchen
02275;Atzenbrugg
02276;Reidling
02277;Zwentendorf
02278;Absdorf
02279;Kirchberg am Wagram
02282;Gänserndorf
02283;Angern a.d. March
02284;Oberweiden
02285;Marchegg
02286;Obersiebenbrunn
02287;Straßhof an der Nordbahn
02288;Auersthal
02289;Matzen
02522;Laa a.d. Thaya
02523;Kirchstetten, Bez. Mistelbach
02524;Kautendorf
02525;Gnadendorf
02526;Stronsdorf
02527;Wulzeshofen
02532;Zistersdorf
02533;Neusiedl a.d. Zaya
02534;Niedersulz
02535;Hohenau a.d. March
02536;Drösing
02538;Velm-Götzendorf
02552;Poysdorf
02554;Stützenhofen
02555;Herrnbaumgarten
02556;Großkrut
02557;Reinthal bei Bernhardsthal
02572;Mistelbach a.d. Zaya
02573;Wilfersdorf
02574;Gaweinstal
02575;Ladendorf
02576;Ernstbrunn
02577;Asparn a.d. Zaya
02610;Horitschon
02611;Mannersdorf a.d. Rabnitz
02612;Oberpullendorf
02613;Deutschkreutz
02614;Kleinwarasdorf
02615;Lutzmannsburg
02616;Lockenhaus
02617;Draßmarkt
02618;Markt St. Martin
02619;Lackendorf
02620;Willendorf am Steinfeld
02621;Sieggraben
02622;Wiener Neustadt
02623;Pottendorf
02624;Ebenfurth
02625;Sauerbrunn
02626;Mattersburg
02627;Pitten
02628;Felixdorf
02629;Warth, NÖ
02630;Ternitz
02631;Pöttsching
02632;Pernitz, NÖ
02633;Piesting, NÖ
02634;Gutenstein, NÖ
02635;Neunkirchen, NÖ
02636;Puchberg am Schneeberg
02637;Grünbach am Schneeberg
02638;Winzendorf, NÖ
02639;Bad Fischau
02641;Kirchberg am Wechsel
02642;Aspang
02643;Lichtenegg
02644;Grimmenstein
02645;Wiesmath
02646;Kirchschlag i.d. Buckl. Welt
02647;Krumbach, NÖ
02648;Hochneukirchen
02649;Mönichkirchen
02662;Gloggnitz
02663;Schottwien
02664;Semmering
02665;Prein a.d. Rax
02666;Reichenau a.d. Rax
02667;Schwarzau im Gebirge
02672;Berndorf, NÖ
02673;Altenmarkt-Thenneberg
02674;Weißenbach a.d. Triesting
02680;St. Margarethen im Bgl.
02682;Eisenstadt
02683;Purbach am Neusiedler See
02684;Schützen am Gebirge
02685;Rust, Bgl.
02686;Draßburg
02687;Siegendorf
02688;Steinbrunn, Bgl.
02689;Hornstein, Bgl.
02711;Dürnstein, NÖ
02712;Aggsbach Markt
02713;Spitz a.d. Donau
02714;Rossatz
02715;Weißenkirchen in der Wachau
02716;Gföhl
02717;Untermeisling
02718;Lichtenau im Waldviertel
02719;Droß
02722;Kirchberg a.d. Pielach
02723;Rabenstein a.d. Pielach
02724;Schwarzenbach a.d. Pielach
02725;Frankenfels
02726;Puchenstuben
02728;Wienerbruck
02731;Idolsberg
02732;Krems a.d. Donau
02733;Schönberg am Kamp
02734;Langenlois
02735;Hadersdorf am Kamp
02736;Paudorf
02738;Fels am Wagram
02739;Tiefenfucha
02741;Flinsbach
02742;St. Pölten
02743;Böheimkirchen
02744;Kasten bei Böheimkirchen
02745;Pyhra, Bezirk St. Pölten
02746;Wilhelmsburg a.d. Traisen
02747;Obergrafendorf
02748;Kilb
02749;Prinzersdorf
02752;Melk
02753;Gansbach
02754;Loosdorf, Bezirk Melk
02755;Mank
02756;St. Leonhard am Forst
02757;Pöchlarn
02758;Pöggstall
02762;Lilienfeld
02763;St. Veit a.d. Gölsen
02764;Hainfeld, NÖ
02765;Kaumberg
02766;Kleinzell
02767;Hohenberg
02768;St. Aegyd am Neuwalde
02769;Türnitz, NÖ
02772;Neulengbach
02773;Eichgraben, NÖ
02774;Innermanzing
02782;Herzogenburg
02783;Traismauer
02784;Perschling
02786;Oberwölbling
02812;Groß Gerungs
02813;Arbesbach
02814;Langschlag bei Weitra
02815;Großschönau
02816;Karlstift
02822;Zwettl, NÖ
02823;Großglobnitz
02824;Allentsteig
02825;Göpfritz a.d. Wild
02826;Rastenfeld, NÖ
02827;Schönbach
02828;Rappottenstein
02829;Schweiggers
02841;Vitis, NÖ
02842;Waidhofen a.d. Thaya
02843;Dobersberg
02844;Karlstein a.d. Thaya
02845;Weikertschlag a.d. Thaya
02846;Raabs a.d. Thaya
02847;Groß Siegharts
02848;Pfaffenschlag
02849;Schwarzenau
02852;Gmünd, NÖ
02853;Schrems, NÖ
02854;Kirchberg am Walde
02855;Waldenstein
02856;Weitra
02857;Großpertholz
02858;Harbach bei Weitra
02859;Nagelberg
02862;Heidenreichstein
02863;Eggern
02864;Kautzen
02865;Litschau
02872;Ottenschlag, NÖ
02873;Kottes
02874;Martinsberg, NÖ
02875;Grafenschlag
02876;Els
02877;Grainbrunn
02878;Spielberg
02912;Geras
02913;Hötzelsdorf
02914;Japons
02915;Drosendorf
02916;Riegersburg, NÖ
02942;Retz, NÖ
02943;Obritz
02944;Haugsdorf
02945;Zellerndorf
02946;Pulkau
02947;Theras
02948;Weitersfeld
02949;Niederfladnitz
02951;Guntersdorf
02952;Hollabrunn
02953;Nappersdorf
02954;Göllersdorf
02955;Großweikersdorf
02956;Ziersdorf
02957;Hohenwarth
02958;Maissau
02959;Sitzendorf a.d. Schmida
02982;Horn, NÖ
02983;Sigmundsherberg
02984;Eggenburg
02985;Gars am Kamp
02986;Irnfritz
02987;St. Leonhard am Hornerwald
02988;Neupölla
02989;Brunn a.d. Wild
03112;Gleisdorf
03113;Pischelsdorf in Stmk.
03114;Markt Hartmannsdorf
03115;Studenzen
03116;Kirchbach in Stmk.
03117;Eggersdorf
03118;Sinabelkirchen
03119;St. Marein bei Graz
03123;St. Oswald bei Plankenwarth
03124;Gratkorn
03125;Übelbach
03126;Frohnleiten
03127;Peggau
03132;Kumberg
03133;Nestelbach
03134;Heiligenkreuz am Waasen
03135;Kalsdorf bei Graz
03136;Dobl
03137;Söding
03140;St. Martin am Wöllmißberg
03141;Hirschegg
03142;Voitsberg
03143;Krottendorf
03144;Köflach
03145;Edelschrott
03146;Modriach
03147;Salla
03148;Kainach bei Voitsberg
03149;Geistthal
03150;Paldau
03151;Gnas
03152;Feldbach
03153;Riegersburg, Stmk.
03155;Fehring
03157;Kapfenstein
03158;St. Anna am Aigen
03159;Bad Gleichenberg
0316;Graz
03170;Fischbach
03171;Gasen
03172;Weiz
03173;Ratten
03174;Birkfeld
03175;Anger, Stmk.
03176;Stubenberg am See
03177;Puch bei Weiz
03178;St. Ruprecht a.d. Raab
03179;Passail
03182;Wildon
03183;St. Georgen a.d. Stiefing
03184;Wolfsberg im Schwarzautal
03185;Preding
03322;Güssing
03323;Eberau
03324;Strem
03325;Heiligenkreuz im Lafnitztal
03326;Stegersbach
03327;St. Michael bei Güssing
03328;Kukmirn
03329;Jennersdorf
03331;St. Lorenzen am Wechsel
03332;Hartberg
03333;Sebersdorf
03334;Kaindorf bei Hartberg
03335;Pöllau
03336;Waldbach
03337;Vorau
03338;Lafnitz
03339;Friedberg
03352;Oberwart
03353;Oberschützen
03354;Bernstein
03355;Stadtschlaining
03356;Markt Allhau
03357;Pinkafeld
03358;Litzelsdorf
03359;Loipersdorf im Bgl.
03362;Großpetersdorf
03363;Rechnitz
03364;Hannersdorf
03365;Deutsch Schützen
03366;Kohfidisch
03382;Fürstenfeld
03383;Burgau
03385;Ilz
03386;Großsteinbach
03387;Söchau
03452;Leibnitz
03453;Ehrenhausen
03454;Leutschach
03455;Arnfels
03456;Fresing
03457;Gleinstätten
03460;Soboth
03461;Trahütten
03462;Deutschlandsberg
03463;Stainz
03464;Groß St. Florian
03465;Pölfing-Brunn
03466;Eibiswald
03467;Schwanberg
03468;St. Oswald ob Eibiswald
03469;St. Oswald-Freiland
03472;Mureck
03473;Straden
03474;Deutsch Goritz
03475;Hürth bei Halbenrain
03476;Bad Radkersburg
03477;St. Peter am Ottersbach
03512;Knittelfeld
03513;Bischoffeld
03514;Seckau
03515;St. Lorenzen bei Knittelfeld
03516;Kleinlobming
03532;Murau
03533;Turrach
03534;Stadl a.d. Mur
03535;Krakaudorf
03536;St. Peter am Kammersberg
03537;St. Georgen ob Murau
03571;Möderbrugg
03572;Judenburg
03573;Fohnsdorf
03574;Pusterwald
03575;St. Johann am Tauern
03576;Bretstein
03577;Zeltweg
03578;Obdach
03579;Thalheim
03581;Oberwölz
03582;Scheifling
03583;Unzmarkt
03584;Neumarkt in der Stmk.
03585;St. Lambrecht
03586;Mühlen
03587;Lachtal
03588;Katsch a.d. Mur
03611;Johnsbach
03612;Liezen
03613;Admont
03614;Rottenmann
03615;Trieben
03616;Selzthal
03617;Gaishorn
03618;Hohentauern
03619;Oppenberg
03622;Bad Aussee
03623;Bad Mitterndorf
03624;Kainisch bei Bad Aussee
03631;Unterlaussa
03632;St. Gallen, Stmk.
03633;Landl
03634;Hieflau
03635;Radmer
03636;Wildalpen
03637;Gams bei Hieflau
03638;Palfau
03680;Donnersbachwald
03682;Stainach
03683;Donnersbach
03684;St. Martin am Grimming
03685;Gröbming
03686;Haus
03687;Schladming
03688;Tauplitz
03689;St. Nikolai im Sölktal
03832;Kraubath
03833;Traboch
03834;Wald am Schoberpaß
03842;Leoben
03843;St. Michael in der Oberstmk.
03844;Kammern
03845;Mautern
03846;Kalwang
03847;Trofaiach
03848;Eisenerz
03849;Vordernberg
03852;Mürzzuschlag
03853;Spital am Semmering
03854;Langenwang
03855;Krieglach
03856;Veitsch
03857;Neuberg a.d. Mürz
03858;Mitterdorf im Mürztal
03859;Mürzsteg
03861;Aflenz
03862;Bruck a.d. Mur
03863;Turnau
03864;St. Marein im Mürztal
03865;Kindberg
03866;St. Jakob bei Mixnitz
03867;Pernegg
03868;Tragöß
03869;St. Katharein a.d. Laming
03882;Mariazell
03883;Terz
03884;Wegscheid
03885;Greith
03886;Weichselboden
04212;St. Veit a.d. Glan
04213;Launsdorf
04214;Brückl
04215;Liebenfels
04220;Köttmannsdorf
04221;Gallizien
04223;Maria Saal
04224;Pischeldorf, Kärnten
04225;Grafenstein
04226;St. Margareten im Rosental
04227;Ferlach
04228;Feistritz im Rosental
04229;Krumpendorf
04230;Globasnitz
04231;Mittertrixen
04232;Völkermarkt
04233;Griffen
04234;Ruden
04235;Bleiburg
04236;Eberndorf
04237;Miklauzhof
04238;Eisenkappel
04239;St. Kanzian
04240;Bad Kleinkirchheim
04242;Villach
04243;Bodensdorf
04244;Bleiberg
04245;Feistritz a.d. Drau
04246;Radenthein
04247;Afritz
04248;Treffen
04252;Wernberg
04253;St. Jakob im Rosental
04254;Faak am See
04255;Arnoldstein
04256;Nötsch
04257;Fürnitz
04258;Gummern
04262;Treibach
04263;Hüttenberg
04264;Klein St. Paul
04265;Weitensfeld, Kärnten
04266;Straßburg
04267;Metnitz
04268;Friesach
04269;Flattnitz
04271;Steuerberg
04272;Pörtschach
04273;Reifnitz
04274;Velden am Wörther See
04275;Ebene Reichenau
04276;Feldkirchen in Kärnten
04277;Glanegg, Kärnten
04278;Gnesau
04279;Sirnitz
04282;Hermagor
04283;St. Stefan a.d. Gail
04284;Kirchbach, Gailtal
04285;Tröpolach
04286;Weißbriach
04350;Bad St. Leonhard
04352;Wolfsberg, Kärnten
04353;Prebl
04354;Preitenegg
04355;Gemmersdorf
04356;Lavamünd
04357;St. Paul im Lavanttal
04358;St. Andrä im Lavanttal
04359;Reichenfels
0463;Klagenfurt
04710;Oberdrauburg
04712;Greifenburg
04713;Techendorf
04714;Dellach im Drautal
04715;Kötschach
04716;St. Lorenzen im Lesachtal
04717;Steinfeld
04718;Dellach im Gailtal
04732;Gmünd, Kärnten
04733;Malta
04734;Rennweg
04735;Kremsbrücke
04736;Innerkrems
04761;Stockenboi
04762;Spittal a.d. Drau
04766;Millstatt
04767;Rothenthurn
04768;Kleblach
04769;Möllbrücke
04782;Obervellach
04783;Kolbnitz
04784;Mallnitz
04785;Außerfragant
04822;Winklern im Mölltal
04823;Tresdorf
04824;Heiligenblut, Ktn.
04825;Großkirchheim
04826;Mörtschach
04842;Sillian
04843;Außervillgraten
04846;Abfaltersbach
04847;Obertilliach
04848;Kartitsch
04852;Lienz
04853;Ainet
04855;Thal-Aßling
04858;Nikolsdorf
04872;Huben, Osttirol
04873;St. Jakob in Defereggen
04874;Virgen
04875;Matrei, Osttirol
04876;Kals
04877;Prägraten
04879;St. Veit in Defereggen
0512;Innsbruck
05212;Seefeld
05213;Scharnitz
05214;Leutasch
05223;Hall in Tirol
05224;Wattens
05225;Fulpmes
05226;Neustift im Stubaital
05230;Sellrain
05232;Kematen in Tirol
05234;Axams
05236;Gries im Sellrain
05238;Zirl
05239;Kühtai
05242;Schwaz
05243;Maurach
05244;Jenbach
05245;Hinterriß
05246;Achenkirch
05248;Steinberg am Rofan
05252;Ötz
05253;Längenfeld
05254;Sölden
05255;Umhausen
05256;Untergurgl
05262;Telfs
05263;Silz
05264;Obermieming
05265;Nassereith
05266;Ötztal
05272;Steinach, Tirol
05273;Matrei am Brenner
05274;Gries am Brenner
05275;Trins
05276;Gschnitz
05278;Navis
05279;St. Jodok am Brenner
05280;Hochfügen
05282;Zell am Ziller
05283;Kaltenbach
05284;Gerlos
05285;Mayrhofen
05286;Ginzling
05287;Lanersbach
05288;Fügen
05289;Häusling
05331;Brandenberg
05332;Wörgl
05333;Söll
05334;Westendorf
05335;Hopfgarten
05336;Alpbach
05337;Brixlegg
05338;Kundl
05339;Wildschönau
05352;St. Johann in Tirol
05353;Waidring
05354;Fieberbrunn
05355;Jochberg
05356;Kitzbühel
05357;Kirchberg in Tirol
05358;Ellmau
05359;Hochfilzen
05372;Kufstein
05373;Ebbs
05374;Walchsee
05375;Kössen
05376;Thiersee
05412;Imst
05413;St. Leonhard im Pitztal
05414;Wenns
05417;Roppen
05418;Schönwies
05441;See, Paznaun
05442;Landeck
05443;Galtür
05444;Ischgl
05445;Kappl
05446;St. Anton am Arlberg
05447;Flirsch
05448;Pettneu
05449;Fließ
05472;Prutz
05473;Nauders
05474;Pfunds
05475;Feichten
05476;Serfaus
05477;Tösens
05510;Damüls
05512;Egg
05513;Hittisau
05514;Bezau
05515;Au, Bregenzerwald
05516;Doren
05517;Riezlern
05518;Mellau
05519;Schröcken
05522;Feldkirch
05523;Götzis
05524;Satteins
05525;Nenzing
05526;Laterns
05550;Thüringen
05552;Bludenz
05553;Raggal
05554;Sonntag
05556;Schruns
05557;St. Gallenkirch
05558;Gaschurn
05559;Brand
05572;Dornbirn
05573;Hörbranz
05574;Bregenz
05575;Langen bei Bregenz
05576;Hohenems
05577;Lustenau
05578;Höchst
05579;Alberschwende
05582;Langen am Arlberg
05583;Lech
05585;Dalaas
05632;Stanzach
05633;Hägerau
05634;Elbigenalp
05635;Elmen
05672;Reutte
05673;Ehrwald
05674;Bichlbach
05675;Tannheim
05676;Jungholz
05677;Vils
05678;Weißenbach am Lech
06131;Obertraun
06132;Bad Ischl
06133;Ebensee
06134;Hallstatt
06135;Bad Goisern
06136;Gosau
06137;Strobl
06138;St. Wolfgang im Salzkammergut
06210;Lochen
06212;Seekirchen
06213;Oberhofen
06214;Henndorf am Wallersee
06215;Straßwalchen
06216;Neumarkt am Wallersee
06217;Mattsee
06218;Friedburg, OÖ
06219;Obertrum
06221;Koppl
06223;Anthering
06224;Hintersee
06225;Eugendorf
06226;Fuschl am See
06227;St. Gilgen
06228;Faistenau
06229;Hof bei Salzburg
06232;Mondsee, OÖ
06233;Oberwang
06234;Zell am Moos
06235;Thalgau
06240;Krispl
06241;St. Koloman
06242;Rußbach
06243;Abtenau
06244;Golling
06245;Hallein
06246;Grödig
06247;Großgmain
06272;Oberndorf bei Salzburg
06274;Lamprechtshausen
06276;Nußdorf am Haunsberg
06277;St. Pantaleon, OÖ
06278;Ostermiething
06412;St. Johann im Pongau
06413;Wagrain
06414;Großarl
06415;Schwarzach im Pongau
06416;Lend
06417;Hüttschlag
06418;Kleinarl
06432;Bad Hofgastein
06433;Dorfgastein
06434;Badgastein
06452;Radstadt
06453;Filzmoos
06454;Mandling
06455;Untertauern
06456;Obertauern
06457;Flachau
06458;Eben im Pongau
06461;Dienten am Hochkönig
06462;Bischofshofen
06463;Lungötz
06464;Hüttau
06466;Werfenweng
06467;Mühlbach am Hochkönig
06468;Werfen
06470;Atzmannsdorf
06471;Tweng
06472;Mauterndorf im Lungau
06473;Mariapfarr
06474;Tamsweg
06475;Ramingstein
06476;St. Margarethen im Lungau
06477;St. Michael im Lungau
06478;Zederhaus
06479;Muhr
06483;Göriach
06484;Lessach
06541;Saalbach
06542;Zell am See
06543;Taxenbach
06544;Rauris
06545;Bruck a.d. Glocknerstraße
06546;Fusch a.d. Glocknerstraße
06547;Kaprun
06548;Niedernsill
06549;Piesendorf
06562;Mittersill
06563;Uttendorf im Pinzgau
06564;Krimml
06565;Neukirchen am Großvenediger
06566;Mühlbach im Oberpinzgau
06582;Saalfelden
06583;Leogang
06584;Maria Alm
06588;Lofer
06589;Unken
0662;Salzburg
07211;Reichenau im Mühlkreis
07212;Zwettl a.d. Rodl
07213;Bad Leonfelden
07214;Reichenthal
07215;Hellmonsödt
07216;Helfenberg
07217;St. Veit im Mühlkreis
07218;Traberg
07219;Vorderweißenbach
07221;Hörsching
07223;Enns
07224;St. Florian
07225;Hargelsberg
07226;Wilhering
07227;Neuhofen a.d. Krems
07228;Kematen a.d. Krems
07229;Traun
07230;Altenberg
07231;Herzogsdorf
07232;St. Martin im Mühlkreis
07233;Feldkirchen a.d. Donau
07234;Ottensheim
07235;Gallneukirchen
07236;Pregarten
07237;St. Georgen a.d. Gusen
07238;Mauthausen
07239;Lichtenberg
07240;Sipbachzell
07241;Steinerkirchen
07242;Wels
07243;Marchtrenk
07244;Sattledt
07245;Lambach
07246;Gunskirchen
07247;Kematen am Innbach
07248;Grieskirchen
07249;Bad Schallerbach
07250;Maria Neustift
07251;Schiedlberg
07252;Steyr
07253;Wolfern
07254;Großraming
07255;Losenstein
07256;Ternberg
07257;Grünburg
07258;Bad Hall
07259;Sierning
07261;Schönau im Mühlkreis
07262;Perg
07263;Bad Zell
07264;Windhaag bei Perg
07265;Pabneukirchen
07266;Bad Kreuzen
07267;Mönchdorf
07268;Grein
07269;Baumgartenberg
07272;Eferding
07273;Aschach a.d. Donau
07274;Alkoven
07276;Peuerbach
07277;Waizenkirchen
07278;Neukirchen am Walde
07279;Haibach a.d. Donau
07280;Schwarzenberg im Mühlkreis
07281;Aigen im Mühlkreis
07282;Neufelden
07283;Sarleinsbach
07284;Oberkappel
07285;Hofkirchen im Mühlkreis
07286;Lembach
07287;Peilstein
07288;Ulrichsberg
07289;Rohrbach, OÖ
0732;Linz
07353;Gaflenz
07355;Weyer
07357;Kleinreifling
07412;Ybbs a.d. Donau
07413;Marbach a.d. Donau
07414;Weins-Isperdorf
07415;Altenmarkt im Ysperthale
07416;Wieselburg a.d. Erlauf
07418;Waldhausen im Strudengau
07432;Strengberg
07433;Wallsee
07434;Haag, NÖ
07435;St. Valentin, NÖ
07442;Waidhofen a.d. Ybbs
07443;Ybbsitz
07444;Opponitz
07445;Hollenstein a.d. Ybbs
07446;Gaflenz
07447;Weyer
07448;Hilm-Kematen
07449;Kleinreifling
07471;Neustadtl a.d. Donau
07472;Amstetten, NÖ
07473;Blindenmarkt
07474;Euratsfeld
07475;Ulmerfeld-Hausmening
07476;Aschbach Markt
07477;St. Peter in der Au
07478;Oed bei Amstetten
07479;Ardagger
07480;Langau bei Gaming
07482;Scheibbs
07483;Oberndorf a.d. Melk
07484;Göstling a.d. Ybbs
07485;Gaming
07486;Lunz am See
07487;Gresten
07488;Steinakirchen am Forst
07489;Purgstall a.d. Erlauf
07562;Windischgarsten
07563;Spital am Phyrn
07564;Hinterstoder
07565;St. Pankraz
07566;Rosenau am Hengstpaß
07582;Kirchdorf a.d. Krems
07583;Kremsmünster
07584;Molln
07585;Klaus
07586;Pettenbach
07587;Wartberg a.d. Krems
07588;Ried im Traunkreis
07612;Gmunden
07613;Laakirchen
07614;Vorchdorf
07615;Scharnstein
07616;Grünau
07617;Traunkirchen
07618;Neukirchen bei Altmünster
07619;Kirchham
07662;Seewalchen
07663;Steinbach am Attersee
07664;Weyregg
07665;Unterach
07666;Attersee
07667;St. Georgen im Attergau
07672;Vöcklabruck
07673;Schwanenstadt
07674;Attnang
07675;Ampflwang
07676;Ottnang
07682;Vöcklamarkt
07683;Frankenburg
07684;Frankenmarkt
07711;Suben
07712;Schärding
07713;Schardenberg
07714;Esternberg
07716;Münzkirchen
07717;St. Ägidi
07718;Waldkirchen am Wesen
07719;Taufkirchen a.d. Pram
07722;Braunau am Inn
07723;Altheim
07724;Mauerkirchen
07727;Ach
07728;Schwand
07729;Neukirchen a.d. Enknach
07732;Haag am Hausruck
07733;Neumarkt am Hausruckkreis
07734;Hofkirchen a.d. Trattnach
07735;Gaspoltshofen
07736;Pram
07742;Mattighofen
07743;Maria Schmolln
07744;Munderfing
07745;Lochen
07746;Friedburg
07747;Kirchberg bei Mattighofen
07748;Eggelsberg
07750;Andrichsfurt
07751;St. Martin im Innkreis
07752;Ried im Innkreis
07753;Eberschwang
07754;Waldzell
07755;Mettmach
07757;Gurten
07758;Obernberg am Inn
07759;Antiesenhofen
07762;Raab
07763;Kopfing
07764;Riedau
07765;Lambrechten
07766;Andorf
07767;Eggerding
07941;Neumarkt im Mühlkreis
07942;Freistadt
07943;Windhaag bei Freistadt
07944;Sandl
07945;St. Oswald bei Freistadt
07946;Gutau
07947;Kefermarkt
07948;Hirschbach
07949;Rainbach bei Freistadt
07952;Weitersfelden
07953;Liebenau
07954;St. Georgen am Walde
07955;Königswiesen
07956;Unterweißenbach
